,Unnamed: 0,propertyID_hemnet,houseAddress_1,houseAddress_2,Municipality,Date_of_sale_txt,Date_of_sale,Final_price,Starting_price,Housing_type,Tenure_type,Rooms,Living_Area_m2,Ancillary_Area_m2,Lot_area_m2,year_built,Ground_Rent_perYear,Operating_Cost,Patio_dummy,Elevator_dummy,Balcony_Dummy,Floor,Total_Floors,link
1306,1307,552373.0,Alfs Väg 6,"Alvhem, Ale kommun",Ale,11 augusti 2016,2016-08-11,1505000,0.0,detached house,Ownership,0.0,107.0,107.0,1344,1965,0,35000,0,0,0,,,https://www.hemnet.se/salda/villa-107m2-alvhem-ale-kommun-alfs-vag-6-552373
1307,1308,552677.0,Hövägen 8,"Älvängen, Ale kommun",Ale,10 augusti 2016,2016-08-10,3550000,0.0,detached house,Ownership,6.0,160.0,110.0,1111,1936,0,19000,0,0,0,,,https://www.hemnet.se/salda/villa-6rum-alvangen-ale-kommun-hovagen-8-552677
1308,1309,551804.0,Hultasjövägen 445,"ÄLVÄNGEN, Ale kommun",Ale,9 augusti 2016,2016-08-09,2225000,0.0,detached house,Ownership,5.0,82.0,0.0,4277,1972,0,22896,0,0,0,,,https://www.hemnet.se/salda/villa-5rum-alvangen-ale-kommun-hultasjovagen-445-551804
1309,1310,547451.0,Lindängsvägen 9,"ALAFORS, Ale kommun",Ale,20 juli 2016,2016-07-20,2600000,0.0,detached house,Ownership,4.0,105.0,51.0,1000,1942,0,17055,0,0,0,,,https://www.hemnet.se/salda/villa-4rum-alafors-ale-kommun-lindangsvagen-9-547451
1310,1311,546787.0,Vårlöksvägen 11,"ÄLVÄNGEN, Ale kommun",Ale,18 juli 2016,2016-07-18,3000000,0.0,detached house,Ownership,4.0,113.0,8.0,230,1972,0,37196,0,0,0,,,https://www.hemnet.se/salda/villa-4rum-alvangen-ale-kommun-varloksvagen-11-546787
1311,1312,545148.0,Skårdalsvägen 21,"BOHUS, Ale kommun",Ale,13 juli 2016,2016-07-13,1540000,0.0,detached house,Ownership,0.0,86.0,86.0,688,1969,0,0,0,0,0,,,https://www.hemnet.se/salda/villa-86m2-bohus-ale-kommun-skardalsvagen-21-545148
1312,1313,542623.0,Kollanda 465,"Älvängen, Ale kommun",Ale,10 juli 2016,2016-07-10,1695000,0.0,detached house,Ownership,4.0,82.0,0.0,1537,1972,0,22855,0,0,0,,,https://www.hemnet.se/salda/villa-4rum-alvangen-ale-kommun-kollanda-465-542623
1313,1314,540924.0,Lid 285,"Skepplanda, Ale kommun",Ale,7 juli 2016,2016-07-07,1400000,0.0,detached house,Ownership,3.0,89.0,25.0,19876,1909,0,24172,0,0,0,,,https://www.hemnet.se/salda/villa-3rum-skepplanda-ale-kommun-lid-285-540924
1314,1315,540551.0,Blinneberg 300,"Hålanda, Ale kommun",Ale,6 juli 2016,2016-07-06,315000,0.0,detached house,Ownership,2.0,50.0,0.0,728,1929,0,2800,0,0,0,,,https://www.hemnet.se/salda/villa-2rum-halanda-ale-kommun-blinneberg-300-540551
1315,1316,540483.0,Terrassvägen 2,"Alafors, Ale kommun",Ale,6 juli 2016,2016-07-06,2570000,0.0,detached house,Ownership,4.0,140.0,80.0,531,1909,0,30500,0,0,0,,,https://www.hemnet.se/salda/villa-4rum-alafors-ale-kommun-terrassvagen-2-540483
1316,1317,539287.0,Spränggatan 5,"Älvängen, Ale kommun",Ale,30 juni 2016,2016-06-30,3550000,0.0,detached house,Ownership,4.0,137.0,52.0,847,1986,0,0,0,0,0,,,https://www.hemnet.se/salda/villa-4rum-alvangen-ale-kommun-spranggatan-5-539287
1317,1318,538626.0,Tallstigen 1,"Nol, Ale kommun",Ale,30 juni 2016,2016-06-30,2400000,0.0,detached house,Ownership,5.0,118.0,0.0,621,1970,0,20800,0,0,0,,,https://www.hemnet.se/salda/villa-5rum-nol-ale-kommun-tallstigen-1-538626
1318,1319,538526.0,Fyrbyggarevägen 11,"SKEPPLANDA, Ale kommun",Ale,30 juni 2016,2016-06-30,1900000,0.0,detached house,Ownership,3.0,84.0,84.0,820,1962,0,37261,0,0,0,,,https://www.hemnet.se/salda/villa-3rum-skepplanda-ale-kommun-fyrbyggarevagen-11-538526
1319,1320,534221.0,Vikaredsvägen 17,"Älvängen, Ale kommun",Ale,19 juni 2016,2016-06-19,3450000,0.0,detached house,Ownership,4.0,131.0,0.0,578,1990,0,35787,0,0,0,,,https://www.hemnet.se/salda/villa-4rum-alvangen-ale-kommun-vikaredsvagen-17-534221
1320,1321,534111.0,Åkerholmsvägen 22,"Älvängen, Ale kommun",Ale,17 juni 2016,2016-06-17,3390000,0.0,detached house,Ownership,2.0,94.9,60.8,1470,2016,0,0,0,0,0,,,https://www.hemnet.se/salda/villa-2rum-alvangen-ale-kommun-akerholmsvagen-22-534111
1321,1322,533408.0,Ivars kulle 15,"Nödinge, Ale kommun",Ale,17 juni 2016,2016-06-17,4310000,0.0,detached house,Ownership,5.0,150.0,0.0,516,2006,0,9178,0,0,0,,,https://www.hemnet.se/salda/villa-5rum-nodinge-ale-kommun-ivars-kulle-15-533408
